blank,BU Family,Business Unit,Business Unit 1,Business Unit 2,Business Unit 3,Business Unit 4,Business Unit 5,Company,Customer,Date,Month,Product,Product Family,Quarter,Type,Year,Densificator,Incomes,Number of Records,Path,Returns,Sales in seleted currency,Sales M.CHF,Sales M.RUB,Sales M.USD,SOM Competitors,SOM Market,SOM Roche,SOM Roche Onco,SOM Roche SP,zero
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,20/05/2020 00:00:00,5,Prd2,FAM1,2,Return,2020,0,,1,0,,0,0,0,0,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,29/05/2020 00:00:00,5,Prd2,FAM1,2,Sale,2020,1,1724.393,1,1,,1724.393,1724.393,110638.907,1553.507207,1,1,0,0,0,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,30/06/2020 00:00:00,6,Prd2,FAM1,2,Return,2020,0,,1,0,,0,0,0,0,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,31/07/2020 00:00:00,7,Prd2,FAM1,3,Return,2020,1,,1,1,,0,0,0,0,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,03/12/2020 00:00:00,12,Prd2,FAM1,4,Sale,2020,1,1749.666,1,1,,1749.666,1749.666,112260.424,1576.275676,1,1,0,0,0,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust2,22/05/2020 00:00:00,5,Prd3,FAM1,2,Sale,2020,0,1265.942,1,0,,1265.942,1265.942,81224.186,1140.488288,1,1,0,0,0,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust2,30/06/2020 00:00:00,6,Prd3,FAM1,2,Return,2020,0,,1,0,-113.935,-113.935,-113.935,-7310.177,-102.6441441,1,1,0,0,0,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust2,28/07/2020 00:00:00,7,Prd3,FAM1,3,Sale,2020,0,113.935,1,0,,113.935,113.935,7310.177,102.6441441,1,1,0,0,0,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust2,31/07/2020 00:00:00,7,Prd3,FAM1,3,Return,2020,1,,1,1,-113.935,-113.935,-113.935,-7310.177,-102.6441441,1,1,0,0,0,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust10,22/10/2019 00:00:00,10,Prd4,FAM1,4,Sale,2019,0,7.893,1,0,,7.893,7.893,467.568,7.110810811,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust10,27/02/2020 00:00:00,2,Prd4,FAM1,1,Sale,2020,1,2.732,1,1,,2.732,2.732,175.298,2.461261261,0,1,1,0,1,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust11,03/07/2019 00:00:00,7,Prd4,FAM1,3,Sale,2019,1,0.691,1,1,,0.691,0.691,40.912,0.622522523,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust11,26/07/2019 00:00:00,7,Prd4,FAM1,3,Sale,2019,0,30.585,1,0,,30.585,30.585,1811.825,27.55405405,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust11,30/07/2019 00:00:00,7,Prd4,FAM1,3,Sale,2019,0,35.518,1,0,,35.518,35.518,2104.055,31.9981982,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust11,06/05/2020 00:00:00,5,Prd4,FAM1,2,Sale,2020,0,0.911,1,0,,0.911,0.911,58.433,0.820720721,0,1,1,0,1,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust11,23/07/2020 00:00:00,7,Prd4,FAM1,3,Sale,2020,1,0.911,1,1,,0.911,0.911,58.433,0.820720721,0,1,1,0,1,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust11,06/10/2020 00:00:00,10,Prd4,FAM1,4,Sale,2020,0,2.732,1,0,,2.732,2.732,175.298,2.461261261,0,1,1,0,1,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust12,17/01/2019 00:00:00,1,Prd4,FAM1,1,Sale,2019,1,0.987,1,1,,0.987,0.987,58.446,0.889189189,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust12,08/02/2019 00:00:00,2,Prd4,FAM1,1,Sale,2019,0,0.987,1,0,,0.987,0.987,58.446,0.889189189,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust12,15/02/2019 00:00:00,2,Prd4,FAM1,1,Sale,2019,1,120.565,1,1,,120.565,120.565,7142.097,108.6171171,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust12,12/05/2019 00:00:00,5,Prd4,FAM1,2,Sale,2019,0,5.92,1,0,,5.92,5.92,350.676,5.333333333,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust12,11/07/2019 00:00:00,7,Prd4,FAM1,3,Sale,2019,1,3.946,1,1,,3.946,3.946,233.784,3.554954955,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust12,16/07/2019 00:00:00,7,Prd4,FAM1,3,Sale,2019,0,3.946,1,0,,3.946,3.946,233.784,3.554954955,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust12,18/07/2019 00:00:00,7,Prd4,FAM1,3,Sale,2019,0,9.866,1,0,,9.866,9.866,584.46,8.888288288,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust12,26/07/2019 00:00:00,7,Prd4,FAM1,3,Sale,2019,0,12.826,1,0,,12.826,12.826,759.798,11.55495496,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust12,30/07/2019 00:00:00,7,Prd4,FAM1,3,Sale,2019,0,1.973,1,0,,1.973,1.973,116.892,1.777477477,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust12,28/08/2019 00:00:00,8,Prd4,FAM1,3,Sale,2019,0,4.933,1,0,,4.933,4.933,292.23,4.444144144,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust12,07/09/2019 00:00:00,9,Prd4,FAM1,3,Sale,2019,1,14.799,1,1,,14.799,14.799,876.689,13.33243243,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust12,27/09/2019 00:00:00,9,Prd4,FAM1,3,Sale,2019,1,0.987,1,1,,0.987,0.987,58.446,0.889189189,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust12,09/10/2019 00:00:00,10,Prd4,FAM1,4,Sale,2019,1,6.906,1,1,,6.906,6.906,409.122,6.221621622,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust12,14/11/2019 00:00:00,11,Prd4,FAM1,4,Sale,2019,0,0.987,1,0,,0.987,0.987,58.446,0.889189189,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust12,16/12/2019 00:00:00,12,Prd4,FAM1,4,Sale,2019,0,2.96,1,0,,2.96,2.96,175.338,2.666666667,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust12,19/12/2019 00:00:00,12,Prd4,FAM1,4,Sale,2019,1,2.96,1,1,,2.96,2.96,175.338,2.666666667,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust12,17/02/2020 00:00:00,2,Prd4,FAM1,1,Sale,2020,1,4.554,1,1,,4.554,4.554,292.163,4.102702703,0,1,1,0,1,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust12,03/04/2020 00:00:00,4,Prd4,FAM1,2,Sale,2020,1,1.821,1,1,,1.821,1.821,116.865,1.640540541,0,1,1,0,1,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust12,19/05/2020 00:00:00,5,Prd4,FAM1,2,Sale,2020,1,135.697,1,1,,135.697,135.697,8706.465,122.2495496,0,1,1,0,1,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust12,04/07/2020 00:00:00,7,Prd4,FAM1,3,Sale,2020,0,1.821,1,0,,1.821,1.821,116.865,1.640540541,0,1,1,0,1,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust12,20/07/2020 00:00:00,7,Prd4,FAM1,3,Sale,2020,0,248.626,1,0,,248.626,248.626,15952.113,223.9873874,0,1,1,0,1,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust12,07/09/2020 00:00:00,9,Prd4,FAM1,3,Sale,2020,1,26.411,1,1,,26.411,26.411,1694.547,23.79369369,0,1,1,0,1,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust12,02/11/2020 00:00:00,11,Prd4,FAM1,4,Sale,2020,0,6.375,1,0,,6.375,6.375,409.029,5.743243243,0,1,1,0,1,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust2,11/08/2019 00:00:00,8,Prd4,FAM1,3,Sale,2019,1,37.492,1,1,,37.492,37.492,2220.947,33.77657658,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust2,13/12/2019 00:00:00,12,Prd4,FAM1,4,Sale,2019,1,0.987,1,1,,0.987,0.987,58.446,0.889189189,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust2,29/04/2020 00:00:00,4,Prd4,FAM1,2,Sale,2020,1,440.788,1,1,,440.788,440.788,28281.403,397.1063063,0,1,1,0,1,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust2,03/12/2020 00:00:00,12,Prd4,FAM1,4,Sale,2020,1,33.697,1,1,,33.697,33.697,2162.008,30.35765766,0,1,1,0,1,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust3,20/02/2019 00:00:00,2,Prd4,FAM1,1,Sale,2019,0,7.893,1,0,,7.893,7.893,467.568,7.110810811,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust3,07/12/2019 00:00:00,12,Prd4,FAM1,4,Sale,2019,1,21.706,1,1,,21.706,21.706,1285.811,19.55495496,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust4,13/02/2019 00:00:00,2,Prd4,FAM1,1,Sale,2019,1,0.395,1,1,,0.395,0.395,23.378,0.355855856,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust5,17/01/2019 00:00:00,1,Prd4,FAM1,1,Sale,2019,1,0.987,1,1,,0.987,0.987,58.446,0.889189189,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust5,18/02/2019 00:00:00,2,Prd4,FAM1,1,Sale,2019,0,0.395,1,0,,0.395,0.395,23.378,0.355855856,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust5,19/07/2019 00:00:00,7,Prd4,FAM1,3,Sale,2019,1,1.973,1,1,,1.973,1.973,116.892,1.777477477,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust5,24/07/2019 00:00:00,7,Prd4,FAM1,3,Sale,2019,0,3.946,1,0,,3.946,3.946,233.784,3.554954955,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust5,02/08/2019 00:00:00,8,Prd4,FAM1,3,Sale,2019,0,0.099,1,0,,0.099,0.099,5.845,0.089189189,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust5,13/03/2020 00:00:00,3,Prd4,FAM1,1,Sale,2020,1,0.911,1,1,,0.911,0.911,58.433,0.820720721,0,1,1,0,1,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust5,24/03/2020 00:00:00,3,Prd4,FAM1,1,Sale,2020,0,2.732,1,0,,2.732,2.732,175.298,2.461261261,0,1,1,0,1,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust5,06/05/2020 00:00:00,5,Prd4,FAM1,2,Sale,2020,0,1.821,1,0,,1.821,1.821,116.865,1.640540541,0,1,1,0,1,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust6,26/08/2019 00:00:00,8,Prd4,FAM1,3,Sale,2019,0,0.987,1,0,,0.987,0.987,58.446,0.889189189,,,,,,0
,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Speciality Business,Roche SB,Roche,Cust6,14/10/2019 00:00:00,10,Prd4,FAM1,4,Sale,2019,0,0.987,1,0,,0.987,0.987,58.446,0.889189189,,,,,,0
